Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
288,1562,1350,56,20,4,12000,1070,3,288,1562,850,32,5,4,12000,4020,7
289,1615,1450,60,20,4,12000,1070,3,289,1615,850,32,5,4,12000,4020,7
290,1615,1450,60,20,4,12000,1070,3,290,1615,850,32,5,4,12000,4020,8
291,1615,1450,60,20,4,12000,1070,3,291,1615,850,32,5,4,12000,4020,9
292,1615,1450,60,20,4,12000,1070,3,292,1615,850,32,5,4,12000,4020,15
293,1615,1450,60,20,4,12000,1070,3,293,1615,850,32,5,4,12000,4020,15
294,1615,1450,60,20,4,12000,1070,3,294,1615,850,32,5,4,12000,4020,15
295,1615,1450,60,20,4,12000,1070,3,295,1615,850,32,5,4,12000,4020,15
296,1615,1450,60,20,4,12000,1090,3,296,1615,850,32,5,4,12000,4020,15
297,1615,1450,60,20,4,12000,1110,3,297,1615,850,32,5,4,12000,4060,15
298,1615,1450,60,20,4,12000,1130,3,298,1615,850,32,5,4,12000,4180,15
299,1615,1450,60,21,4,12000,1130,3,299,1615,850,32,5,4,12000,4320,15
300,1652,1450,60,21,4,12000,1130,3,300,1652,850,32,5,4,12000,4340,15
300,1652,1450,60,21,4,12000,1130,3,300,1652,850,32,5,4,12000,4340,15
301,1652,1450,60,21,4,12000,1130,3,301,1652,850,32,5,4,12000,4340,15
302,1652,1450,60,21,4,12000,1130,3,302,1652,850,32,5,4,12000,4340,15
303,1652,1450,60,21,4,12000,1130,3,303,1652,850,32,5,4,12000,4340,15
304,1652,1450,60,21,4,12000,1130,3,304,1652,850,32,5,4,12000,4340,15
305,1652,1450,60,21,4,12000,1140,3,305,1652,850,32,5,4,11990,4340,15
306,1652,1450,60,21,4,12000,1150,3,306,1652,850,32,5,4,11980,4340,15
307,1652,1450,60,21,4,12000,1160,3,307,1652,850,32,5,4,11970,4340,15
308,1652,1450,60,21,4,12000,1170,3,308,1652,850,32,5,4,11960,4340,15
309,1654,1450,60,21,4,12000,1180,3,309,1654,850,32,5,4,11950,4340,15
310,1654,1450,60,21,4,12000,1190,3,310,1654,850,32,5,4,11940,4340,15
311,1654,1450,60,21,4,12000,1200,3,311,1654,850,32,5,4,11930,4340,15
312,1654,1450,60,21,4,12000,1210,3,312,1654,850,32,5,4,11920,4340,15
313,1654,1450,60,21,4,12000,1230,3,313,1654,850,32,5,4,11900,4340,15
314,1654,1450,60,21,4,12000,1250,3,314,1654,850,32,5,4,11880,4340,15
315,1654,1450,60,21,4,12000,1270,3,315,1654,850,32,5,4,11860,4340,15
316,1654,1450,60,21,4,12000,1350,3,316,1654,850,32,6,4,11840,4340,14
317,1659,1450,60,21,4,12000,1450,3,317,1659,850,32,6,4,11820,4380,14
318,1659,1450,60,21,4,12000,1670,3,318,1659,850,32,7,4,11800,4540,13
319,1659,1450,60,21,4,12000,1830,3,319,1659,950,36,8,4,11780,4680,12
320,1659,1450,60,21,4,12000,1910,3,320,1659,950,36,9,4,11760,4800,11
320,1659,1450,60,22,4,12000,1930,3,320,1659,950,36,9,4,11740,4900,11
321,1659,1450,60,22,4,12000,1930,3,321,1659,950,36,9,4,11740,4900,11
322,1659,1450,60,22,4,12000,2010,3,322,1659,950,36,9,4,11720,4920,11
323,1659,1450,60,22,4,12000,2090,3,323,1659,950,36,9,4,11700,5000,11
324,1659,1450,60,22,4,12000,2170,3,324,1659,950,36,9,4,11680,5100,11
325,1659,1450,60,22,4,12000,2250,3,325,1659,950,36,10,4,11660,5200,10
326,1713,1450,60,22,4,12000,2270,3,326,1713,950,36,10,4,11640,5280,10
327,1713,1450,60,22,4,12000,2350,3,327,1713,950,36,10,4,11620,5360,10
328,1713,1450,60,23,4,12000,2370,3,328,1713,950,36,10,4,11600,5440,10
329,1713,1450,60,23,4,12000,2390,3,329,1713,950,36,10,4,11580,5440,10
330,1713,1450,60,23,4,12000,2410,3,330,1713,950,36,10,4,11560,5440,10
331,1713,1450,60,23,4,12000,2450,3,331,1713,950,36,10,4,11540,5440,10
332,1713,1450,60,23,4,12000,2490,3,332,1713,950,36,10,4,11520,5440,10
333,1713,1450,60,23,4,12000,2530,3,333,1713,950,36,10,4,11500,5440,10
334,1713,1450,60,23,4,12000,2570,3,334,1713,950,36,10,4,11480,5440,10
335,1713,1450,60,23,4,12000,2610,3,335,1713,950,36,10,4,11460,5440,10
336,1713,1450,60,23,4,12000,2650,3,336,1713,950,36,10,4,11440,5440,10
337,1713,1450,60,23,4,12000,2750,3,337,1713,950,36,10,4,11420,5440,10
338,1713,1450,60,23,4,12000,2850,3,338,1713,950,36,10,4,11400,5510,10
339,1713,1450,60,23,4,12000,2950,3,339,1713,950,36,11,4,11380,5590,9
340,1713,1450,60,23,4,12000,2990,3,340,1713,1050,40,12,4,11360,5650,8
340,1713,1450,60,23,4,12000,3070,3,340,1713,1050,40,13,4,11340,5690,8
341,1713,1450,60,23,4,12000,3070,3,341,1713,1050,40,13,4,11340,5690,8
342,1713,1450,60,23,4,12000,3090,3,342,1713,1050,40,13,4,11320,5720,8
343,1713,1450,60,23,4,12000,3170,3,343,1713,1050,40,13,4,11300,5750,8
344,1713,1450,60,23,4,12000,3250,4,344,1713,1050,40,14,4,11280,5780,7
345,1713,1450,60,23,4,12000,3280,4,345,1713,1050,40,14,4,11260,5800,7
346,1719,1450,60,23,4,12000,3370,4,346,1719,1050,40,14,4,11240,5820,7
347,1719,1450,60,23,4,12000,3460,4,347,1719,1050,40,14,4,11220,5840,7
348,1719,1450,60,23,4,12000,3550,4,348,1719,1050,40,15,4,11200,5860,6
349,1719,1450,60,23,4,12000,3570,5,349,1719,1050,40,15,4,11180,5860,6
350,1719,1450,60,23,4,12000,3590,5,350,1719,1050,40,15,4,11160,5860,6
351,1719,1450,60,23,4,12000,3610,5,351,1719,1050,40,15,4,11140,5860,6
352,1719,1450,60,23,4,12000,3630,6,352,1719,1050,40,15,4,11120,5860,6
353,1719,1450,60,23,4,12000,3650,6,353,1719,1050,40,15,4,11100,5860,6
354,1719,1450,60,23,4,12000,3670,6,354,1719,1050,40,15,4,11080,5860,6
355,1719,1450,60,23,4,12000,3690,6,355,1719,1050,40,15,4,11060,5860,6
356,1719,1450,60,23,4,12000,3710,6,356,1719,1050,40,15,4,11040,5860,6
357,1719,1450,60,23,4,12000,3730,6,357,1719,1050,40,15,4,11020,5860,6
358,1719,1450,60,23,4,12000,3750,6,358,1719,1050,40,15,4,11000,5860,6
359,1782,1450,60,23,4,12000,3770,6,359,1782,1050,40,15,4,10980,5860,6
360,1782,1450,60,23,4,12000,3790,6,360,1782,1050,40,15,4,10960,5860,6
360,1782,1450,60,23,4,12000,3810,6,360,1782,1050,40,15,4,10940,5860,6
361,1782,1450,60,23,4,12000,3810,6,361,1782,1050,40,15,4,10940,5860,6
362,1782,1450,60,23,4,12000,3830,7,362,1782,1050,40,15,4,10920,5860,6
363,1782,1450,60,23,4,12000,3850,7,363,1782,1050,40,15,4,10900,5860,6
364,1782,1450,60,23,4,12000,3870,8,364,1782,1050,40,15,4,10880,5860,6
365,1782,1450,60,23,4,12000,3890,8,365,1782,1050,40,15,4,10860,5860,6
366,1837,1450,60,23,4,12000,3910,8,366,1837,1050,40,15,4,10840,5860,6
367,1837,1450,60,23,4,12000,3930,8,367,1837,1050,40,15,4,10820,5860,6
368,1837,1450,60,23,4,12000,3950,8,368,1837,1050,40,15,4,10800,5860,6
369,1837,1450,60,23,4,12000,3970,8,369,1837,1050,40,15,4,10780,5860,6
370,1837,1450,60,23,4,11980,3990,8,370,1837,1050,40,15,4,10760,5880,6
371,1837,1450,60,23,4,11950,4010,9,371,1837,1050,40,15,4,10740,5910,6
372,1837,1450,60,23,4,11920,4030,9,372,1837,1050,40,15,4,10720,5940,6
373,1837,1450,60,23,4,11890,4050,9,373,1837,1050,40,15,4,10700,5970,6
374,1837,1450,60,23,4,11860,4080,9,374,1837,1050,40,15,4,10670,6000,6
375,1837,1450,60,23,4,11830,4110,9,375,1837,1050,40,15,4,10640,6030,6
376,1837,1450,60,23,4,11800,4140,9,376,1837,1050,40,15,4,10610,6060,6
377,1837,1450,60,23,4,11770,4170,9,377,1837,1050,40,15,4,10580,6090,6
378,1837,1450,60,23,4,11740,4200,9,378,1837,1050,40,15,4,10550,6120,6
379,1926,1650,64,23,4,11710,4230,9,379,1926,1050,40,15,4,10520,6150,6
380,1926,1650,64,23,4,11680,4260,9,380,1926,1050,40,15,4,10490,6180,6
380,1926,1650,64,23,4,11650,4290,9,380,1926,1050,40,15,4,10460,6210,6
381,1926,1650,64,23,4,11650,4290,9,381,1926,1050,40,15,4,10460,6210,6
382,1926,1650,64,23,4,11620,4320,9,382,1926,1050,40,15,4,10430,6240,6
383,1926,1650,64,23,4,11590,4350,9,383,1926,1050,40,15,4,10400,6270,6
384,1926,1650,64,23,4,11560,4380,9,384,1926,1050,40,15,4,10370,6300,6
385,1926,1650,64,23,4,11530,4410,9,385,1926,1050,40,15,4,10340,6330,6
386,1926,1650,64,23,4,11500,4440,9,386,1926,1050,40,15,4,10310,6360,6
387,1926,1650,64,23,4,11470,4470,9,387,1926,1050,40,15,4,10280,6390,6
388,1946,1650,64,23,4,11440,4500,11,388,1946,1050,40,15,4,10250,6420,6
389,1946,1650,64,23,4,11410,4530,11,389,1946,1050,40,15,4,10220,6450,6
390,1946,1650,64,23,4,11380,4560,13,390,1946,1050,40,15,4,10190,6480,6
391,1946,1650,64,23,4,11350,4590,13,391,1946,1050,40,15,4,10160,6510,6
392,1946,1650,64,23,4,11320,4620,13,392,1946,1050,40,15,4,10130,6540,6
393,1946,1650,64,23,4,11290,4650,13,393,1946,1050,40,15,4,10100,6570,6
394,1946,1650,64,23,4,11260,4680,14,394,1946,1050,40,15,4,10070,6600,6
395,1946,1650,64,23,4,11210,4710,14,395,1946,1050,40,15,4,10040,6650,6
396,1946,1650,64,23,4,11130,4740,16,396,1946,1050,40,15,4,10010,6730,6
397,1946,1650,64,23,4,11050,4770,17,397,1946,1050,40,15,4,9980,6810,6
398,1946,1650,64,23,4,10970,4800,17,398,1946,1050,40,15,4,9950,6890,6
399,1946,1650,64,23,4,10870,4830,17,399,1946,1050,40,15,4,9920,6990,6
400,1946,1650,64,23,4,10770,4860,17,400,1946,1050,40,15,4,9890,7090,6
400,1946,1650,64,23,4,10670,4890,17,400,1946,1050,40,15,4,9860,7190,6
401,1946,1650,64,23,4,10670,4890,17,401,1946,1050,40,15,4,9860,7190,6
402,1946,1650,64,23,4,10570,4920,17,402,1946,1050,40,15,4,9830,7290,6
403,1946,1650,64,23,4,10470,4950,17,403,1946,1050,40,15,4,9800,7390,6
404,1946,1650,64,23,4,10370,4980,17,404,1946,1050,40,15,4,9770,7490,6
405,1946,1650,64,23,4,10270,5010,17,405,1946,1050,40,15,4,9740,7590,6
406,1946,1650,64,23,4,10170,5040,17,406,1946,1050,40,15,4,9710,7690,6
407,1946,1650,64,23,4,10070,5070,18,407,1946,1050,40,15,4,9680,7790,6
408,1946,1650,64,23,4,9970,5100,20,408,1946,1050,40,15,4,9650,7890,6
409,2021,1650,64,23,4,9870,5130,20,409,2021,1050,40,15,4,9620,7990,6
410,2021,1650,64,23,4,9770,5160,21,410,2021,1050,40,15,4,9590,8090,6
411,2021,1650,64,23,4,9670,5250,21,411,2021,1050,40,15,4,9560,8250,6
412,2021,1650,64,23,4,9570,5380,21,412,2021,1050,40,15,4,9530,8470,6
413,2021,1650,64,23,4,9470,5510,21,413,2021,1050,40,15,4,9500,8690,6
414,2021,1650,64,23,4,9370,5640,21,414,2021,1050,40,15,4,9470,8910,6
415,2021,1650,64,24,4,9270,5750,20,415,2021,1050,40,15,4,9440,9130,6
416,2055,1850,68,24,4,9170,5870,20,416,2055,1050,40,16,4,9410,9350,6
417,2055,1850,68,25,4,9070,5980,22,417,2055,1050,40,16,4,9380,9510,6
418,2055,1900,72,25,3,9000,6070,22,418,2055,1050,40,16,4,9350,9620,6
419,2055,1900,72,26,3,9000,6230,22,419,2055,1050,40,16,4,9320,9760,6
420,2055,1900,72,26,3,9000,6390,22,420,2055,1050,40,16,4,9290,9770,6
420,2055,1900,72,26,3,9000,6560,22,420,2055,1050,40,17,4,9260,9850,6
421,2055,1900,72,26,3,9000,6560,22,421,2055,1050,40,17,4,9260,9850,6
422,2055,1900,72,26,3,9000,6590,23,422,2055,1050,40,17,4,9230,9870,6
423,2055,1900,72,26,3,9000,6760,23,423,2055,1050,40,17,4,9200,9890,6
424,2055,1900,72,26,3,9000,6930,23,424,2055,1050,40,18,4,9170,9980,6
425,2055,1900,72,27,3,9000,7020,22,425,2055,1050,40,18,4,9140,10080,6
426,2055,1900,72,27,3,9000,7240,22,426,2055,1050,40,18,4,9110,10110,6
427,2055,1900,72,28,3,9000,7420,23,427,2055,1050,40,19,4,9080,10270,6
428,2055,1900,72,28,3,9000,7530,24,428,2055,1100,44,19,4,9050,10420,6
429,2055,1900,72,28,3,9000,7700,24,429,2055,1100,44,20,4,9020,10630,6
430,2055,1900,72,29,3,9000,7810,23,430,2055,1100,44,21,4,8990,10780,6
431,2055,1900,72,29,3,9000,7860,24,431,2055,1100,44,21,4,8960,10840,6
432,2055,1900,72,30,3,9000,7890,24,432,2055,1100,44,21,4,8930,10900,6
433,2055,1900,72,30,3,9000,7990,24,433,2055,1100,44,21,4,8900,10990,6
434,2070,1900,72,31,3,9000,8090,23,434,2070,1100,44,22,4,8870,11090,6
435,2070,1900,72,31,3,9000,8130,24,435,2070,1100,44,22,4,8840,11100,6
436,2070,1900,72,31,3,9000,8230,24,436,2070,1100,44,22,4,8810,11190,6
437,2070,1900,72,31,3,9000,8340,25,437,2070,1100,44,22,4,8780,11300,6
438,2070,1900,72,32,3,9000,8390,24,438,2070,1100,44,22,4,8750,11410,6
439,2070,1900,72,32,3,9000,8440,24,439,2070,1100,44,22,4,8720,11410,6
440,2070,1900,72,33,3,9000,8510,23,440,2070,1100,44,22,4,8690,11580,6
440,2070,1900,72,34,3,9000,8580,23,440,2070,1100,44,23,4,8660,11730,6
441,2070,1900,72,34,3,9000,8580,23,441,2070,1100,44,23,4,8660,11730,6
442,2070,1900,72,34,3,9000,8630,23,442,2070,1100,44,23,4,8630,11750,6
443,2070,1900,72,35,3,9000,8680,22,443,2070,1100,44,23,4,8600,11850,6
444,2070,1900,72,35,3,9000,8800,22,444,2070,1100,44,23,4,8570,11910,6
445,2070,1900,72,35,3,9000,9000,22,445,2070,1100,44,23,4,8460,11990,6
446,2070,1900,72,35,3,9000,9200,22,446,2070,1100,44,23,4,8350,12150,6
447,2130,1950,75,36,3,9000,9410,22,447,2130,1100,44,23,3,8260,12310,6
448,2130,1950,75,36,3,9000,9580,22,448,2130,1100,44,24,3,8250,12430,6
449,2130,1950,75,37,3,9000,9640,21,449,2130,1300,47,25,3,8240,12530,6
450,2130,1950,75,37,3,9000,9670,21,450,2130,1300,47,25,3,8230,12670,6
451,2130,1950,75,38,3,9000,9720,21,451,2130,1300,47,25,3,8220,12770,6
452,2130,1950,75,39,3,9000,9770,21,452,2130,1300,47,25,3,8210,12930,6
453,2130,1950,75,40,3,9000,9800,20,453,2130,1300,47,25,3,8200,13040,6
454,2130,1950,75,40,3,9000,9840,20,454,2130,1300,47,26,3,8190,13070,5
455,2130,1950,75,42,3,9000,9920,20,455,2130,1350,50,26,3,8180,13250,5
456,2130,1950,75,42,3,9000,10000,20,456,2130,1350,50,26,3,8170,13330,5
457,2130,1950,75,42,3,9000,10100,20,457,2130,1350,50,27,3,8160,13430,5
458,2207,2000,78,42,3,9000,10130,20,458,2207,1350,50,27,3,8150,13530,5
459,2207,2050,81,43,3,9000,10290,19,459,2207,1350,50,27,3,8140,13700,5
460,2207,2050,81,44,3,9000,10450,19,460,2207,1350,50,28,3,8130,13870,5
460,2207,2050,81,44,3,9000,10590,19,460,2207,1450,53,28,3,8120,13980,5
461,2207,2050,81,44,3,9000,10590,19,461,2207,1450,53,28,3,8120,13980,5
462,2207,2050,81,45,3,9000,10630,18,462,2207,1450,53,29,3,8110,14080,5
463,2207,2050,81,45,3,9000,10720,18,463,2207,1450,53,29,3,8100,14120,5
464,2207,2050,81,46,3,9000,10760,18,464,2207,1450,53,29,3,8090,14160,5
465,2207,2050,81,46,3,9000,10800,18,465,2207,1450,53,29,3,8080,14300,5
466,2207,2050,81,47,3,9000,10890,18,466,2207,1450,53,29,3,8070,14440,5
467,2207,2050,81,47,3,9000,10980,18,467,2207,1450,53,29,3,8060,14540,5
468,2207,2050,81,47,3,9000,11080,18,468,2207,1450,53,29,3,8050,14660,5
469,2207,2050,81,48,3,9000,11160,17,469,2207,1450,53,29,3,8040,14820,5
470,2207,2050,81,49,3,9000,11240,17,470,2207,1450,53,29,3,8030,14990,5
471,2207,2050,81,49,3,9000,11340,17,471,2207,1450,53,30,3,8020,15100,5
472,2207,2050,81,50,3,9000,11360,16,472,2207,1450,53,30,3,8010,15140,5
473,2207,2050,81,50,3,9000,11400,16,473,2207,1450,53,30,3,8000,15180,5
474,2244,2100,84,51,3,9000,11430,16,474,2244,1450,53,30,3,7990,15200,5
475,2244,2100,84,51,3,9000,11460,16,475,2244,1450,53,30,3,7980,15220,5
476,2244,2100,84,51,3,9000,11490,16,476,2244,1450,53,30,3,7970,15260,5
477,2244,2100,84,51,3,9000,11520,16,477,2244,1450,53,30,3,7960,15300,6
478,2244,2100,84,51,3,9000,11550,16,478,2244,1450,53,30,3,7950,15340,6
479,2244,2100,84,51,3,9000,11590,16,479,2244,1450,53,30,3,7940,15420,7
480,2244,2100,84,52,3,9000,11620,15,480,2244,1450,53,30,3,7930,15520,7
480,2244,2100,84,53,3,8980,11640,15,480,2244,1450,53,30,3,7920,15600,7
481,2244,2100,84,53,3,8980,11640,15,481,2244,1450,53,30,3,7920,15600,7
482,2244,2100,84,53,3,8950,11660,15,482,2244,1450,53,30,3,7910,15650,7
483,2244,2100,84,53,3,8920,11680,15,483,2244,1450,53,30,3,7900,15700,8
484,2244,2100,84,54,3,8890,11690,15,484,2244,1450,53,30,3,7890,15750,8
485,2244,2100,84,54,3,8860,11700,15,485,2244,1450,53,30,3,7880,15780,8
486,2244,2100,84,54,3,8830,11710,15,486,2244,1450,53,30,3,7870,15810,8
487,2244,2100,84,54,3,8800,11780,15,487,2244,1450,53,30,3,7860,15840,8
488,2244,2100,84,54,3,8770,11850,15,488,2244,1450,53,31,3,7850,15880,8
489,2244,2100,84,54,3,8740,11860,15,489,2244,1450,53,31,3,7840,15910,8
490,2244,2100,84,54,3,8710,11870,15,490,2244,1450,53,31,3,7830,15940,8
491,2244,2100,84,54,3,8680,11880,15,491,2244,1450,53,31,3,7820,15970,8
492,2244,2100,84,54,3,8650,11890,15,492,2244,1450,53,31,3,7810,16000,8
493,2244,2100,84,54,3,8620,11900,15,493,2244,1450,53,31,3,7800,16030,8
494,2321,2150,87,54,3,8590,11940,15,494,2321,1450,53,31,3,7790,16120,8
495,2321,2150,87,54,3,8560,11980,15,495,2321,1450,53,31,3,7780,16210,8
496,2321,2150,87,54,3,8530,12020,15,496,2321,1450,53,31,3,7770,16300,8
497,2321,2150,87,55,3,8500,12040,15,497,2321,1450,53,31,3,7760,16390,8
498,2413,2200,90,55,3,8470,12060,15,498,2413,1450,53,31,3,7750,16420,8
499,2413,2200,90,55,3,8440,12080,15,499,2413,1450,53,31,3,7740,16450,9
500,2413,2200,90,55,3,8410,12120,15,500,2413,1450,53,31,3,7730,16480,9
500,2413,2200,90,55,3,8380,12160,15,500,2413,1450,53,32,3,7720,16510,8
501,2413,2200,90,55,3,8380,12160,15,501,2413,1450,53,32,3,7720,16510,8
502,2413,2200,90,55,3,8360,12200,15,502,2413,1450,53,32,3,7700,16530,8
503,2413,2200,90,55,3,8340,12240,15,503,2413,1450,53,32,3,7680,16550,8
504,2413,2200,90,55,3,8300,12280,15,504,2413,1450,53,32,3,7660,16590,8
505,2413,2200,90,55,3,8260,12320,15,505,2413,1450,53,32,3,7640,16630,8
506,2413,2200,90,55,3,8220,12360,15,506,2413,1450,53,32,3,7620,16670,9
507,2413,2200,90,55,3,8180,12400,15,507,2413,1450,53,33,3,7600,16710,9
508,2413,2200,90,55,3,8160,12420,15,508,2413,1450,53,33,3,7580,16730,9
509,2413,2200,90,55,3,8140,12470,15,509,2413,1450,53,33,3,7560,16750,9
510,2433,2200,90,55,3,8120,12520,15,510,2433,1450,53,33,3,7540,16810,9
511,2433,2200,90,55,3,8100,12590,15,511,2433,1450,53,34,3,7520,16870,8
512,2433,2200,90,55,3,8080,12620,15,512,2433,1550,56,34,3,7500,16910,8
513,2433,2200,90,55,3,8060,12780,15,513,2433,1550,56,34,3,7480,16950,8
514,2433,2200,90,55,3,8040,12940,15,514,2433,1550,56,34,3,7460,17030,8
515,2433,2200,90,55,3,8020,13100,15,515,2433,1550,56,35,3,7440,17110,8
516,2433,2200,90,55,3,8000,13200,15,516,2433,1550,56,36,3,7420,17170,7
517,2433,2200,90,56,3,8000,13310,15,517,2433,1550,56,36,3,7340,17210,7
518,2433,2200,90,57,3,8000,13430,14,518,2433,1550,56,37,3,7260,17230,6
519,2433,2200,90,57,3,8000,13510,14,519,2433,1650,59,37,3,7180,17230,6
520,2433,2200,90,57,3,8000,13670,14,520,2433,1650,59,37,3,7080,17230,6
520,2433,2200,90,57,3,8000,13830,14,520,2433,1650,59,37,3,6980,17250,6
521,2433,2200,90,57,3,8000,13830,14,521,2433,1650,59,37,3,6980,17250,6
522,2433,2200,90,57,3,8000,13990,14,522,2433,1650,59,37,3,6880,17270,6
523,2433,2200,90,58,3,8000,14140,13,523,2433,1650,59,38,3,6790,17290,6
524,2521,2300,93,58,3,7960,14230,13,524,2521,1650,59,38,3,6700,17330,6
525,2521,2300,93,58,3,7920,14320,13,525,2521,1650,59,38,3,6610,17370,6
526,2521,2300,93,58,3,7880,14410,13,526,2521,1650,59,38,3,6520,17410,6
527,2521,2300,93,58,3,7840,14500,13,527,2521,1650,59,38,3,6430,17460,6
528,2521,2300,93,58,3,7800,14650,13,528,2521,1650,59,38,3,6280,17510,6
529,2521,2300,93,58,3,7760,14800,13,529,2521,1650,59,38,3,6130,17560,6
530,2521,2300,93,58,3,7720,14950,13,530,2521,1650,59,38,3,5980,17610,6
531,2521,2300,93,58,3,7680,15100,15,531,2521,1650,59,38,3,5830,17660,6
532,2521,2300,93,58,3,7640,15250,16,532,2521,1650,59,38,3,5680,17710,6
533,2521,2300,93,58,3,7600,15410,16,533,2521,1650,59,38,3,5530,17760,6
534,2521,2300,93,58,3,7560,15570,16,534,2521,1650,59,38,3,5380,17800,6
535,2521,2300,93,58,3,7520,15730,16,535,2521,1650,59,38,3,5230,17840,6
536,2521,2300,93,58,3,7480,15890,16,536,2521,1650,59,38,3,5080,17880,6
537,2521,2300,93,58,3,7440,16060,16,537,2521,1650,59,38,3,4930,17920,6
538,2521,2300,93,58,3,7400,16230,17,538,2521,1650,59,38,3,4780,17960,6
539,2521,2300,93,58,3,7360,16400,20,539,2521,1650,59,38,2,4670,18000,6
540,2521,2300,93,58,3,7320,16510,20,540,2521,1650,59,38,2,4590,18040,6
540,2521,2300,93,58,3,7280,16670,20,540,2521,1650,59,38,2,4450,18080,6
541,2521,2300,93,58,3,7280,16670,20,541,2521,1650,59,38,2,4450,18080,6
542,2521,2300,93,58,3,7240,16830,20,542,2521,1650,59,38,2,4310,18120,6
543,2521,2300,93,58,3,7200,17010,21,543,2521,1650,59,39,2,4150,18160,5
544,2521,2300,93,58,3,7180,17170,21,544,2521,1650,59,39,2,3990,18180,5
545,2578,2400,96,58,3,7160,17330,21,545,2578,1650,59,39,2,3830,18220,5
546,2578,2400,96,58,3,7140,17500,21,546,2578,1650,59,39,2,3670,18260,5
547,2578,2400,96,58,3,7120,17670,21,547,2578,1650,59,39,2,3510,18300,5
548,2578,2400,96,58,3,7100,17850,21,548,2578,1650,59,39,2,3350,18340,5
549,2578,2400,96,58,3,7080,18030,21,549,2578,1650,59,39,2,3190,18380,5
550,2578,2400,96,58,3,7060,18210,21,550,2578,1650,59,39,2,3030,18420,5
551,2578,2400,96,58,3,7040,18450,21,551,2578,1650,59,39,2,2870,18470,5
552,2578,2400,96,58,3,7020,18690,21,552,2578,1650,59,40,2,2710,18520,5
553,2578,2400,96,58,3,7000,18870,21,553,2578,1700,61,40,2,2550,18560,5
554,2578,2400,96,59,3,6980,19050,20,554,2578,1700,61,41,2,2410,18600,4
555,2578,2400,96,59,3,6980,19220,20,555,2578,1800,63,41,2,2270,18610,4
556,2630,2400,96,59,3,6980,19420,20,556,2630,1800,63,41,2,2130,18640,4
557,2630,2400,96,59,3,6980,19620,20,557,2630,1800,63,41,2,1990,18690,4
558,2630,2400,96,59,3,6980,19820,20,558,2630,1800,63,41,2,1850,18740,4
559,2630,2400,96,59,3,6980,20020,20,559,2630,1800,63,42,2,1710,18790,4
560,2630,2400,96,59,3,6980,20160,20,560,2630,1800,63,42,1,1580,18820,4
560,2630,2400,96,59,3,6980,20260,20,560,2630,1800,63,42,1,1520,18850,4
561,2630,2400,96,59,3,6980,20260,20,561,2630,1800,63,42,1,1520,18850,4
562,2630,2400,96,59,3,6980,20340,20,562,2630,1800,63,42,1,1460,18950,4
563,2630,2400,96,60,3,6980,20530,19,563,2630,1800,63,42,1,1400,19050,4
564,2630,2450,99,61,3,6980,20830,18,564,2630,1800,63,43,1,1340,19110,4
565,2630,2450,99,61,3,6980,21010,18,565,2630,1800,63,44,1,1280,19140,4
566,2630,2450,99,61,3,6980,21080,18,566,2630,1900,64,44,1,1220,19170,4
567,2630,2450,99,62,3,6980,21140,17,567,2630,1900,64,44,1,1160,19260,4
568,2663,2450,99,62,3,6980,21240,17,568,2663,1900,64,44,1,1100,19300,4
569,2663,2450,99,62,3,6980,21340,17,569,2663,1900,64,44,1,1040,19330,4
570,2663,2450,99,62,3,6980,21440,17,570,2663,1900,64,45,1,980,19420,4
571,2663,2450,99,62,3,6980,21560,18,571,2663,1950,65,45,1,920,19580,4
572,2663,2450,99,63,3,6980,21790,17,572,2663,1950,65,45,1,860,19760,4
573,2663,2450,99,63,3,6980,22020,17,573,2663,1950,65,45,1,800,19880,4
574,2663,2450,99,64,3,6980,22190,16,574,2663,1950,65,46,1,800,20070,4
575,2663,2450,99,64,3,6980,22390,16,575,2663,2050,66,46,1,800,20220,4
576,2663,2450,99,65,3,6980,22630,15,576,2663,2050,66,46,1,800,20360,4
577,2663,2450,99,66,3,6980,22830,14,577,2663,2050,66,47,1,800,20460,4
578,2663,2450,99,66,3,6980,23030,14,578,2663,2100,67,48,1,800,20650,4
579,2663,2450,99,66,3,6980,23120,14,579,2663,2300,68,48,1,800,20730,4
580,2663,2450,99,66,3,6980,23390,14,580,2663,2300,68,50,1,800,20820,4
580,2739,2550,102,66,3,6980,23390,15,580,2739,2350,69,50,1,800,20890,4
581,2739,2550,102,66,3,6980,23390,15,581,2739,2350,69,50,1,800,20890,4
582,2739,2550,102,66,3,6980,23720,16,582,2739,2400,70,52,1,800,20970,4
583,2739,2550,102,67,3,6980,23850,15,583,2739,2450,71,52,1,800,21030,4
584,2739,2550,102,67,3,6980,23910,15,584,2739,2500,72,52,1,800,21030,4
